date,opponent,location,result,team_score,opp_score,g,a,pts,sh,sh_pct,sog,sog_pct,gw,fpg,fps,up,dn,gb,to,cto,dc
2024-02-10,Northwestern,neutral,L,15,18,15,7,22,28,0.536,22,0.786,0,2,7,3,1,12,14,12,13
2024-02-14,ARMY,home,W,18,7,18,13,31,31,0.581,23,0.742,1,1,2,1,0,12,15,8,16
2024-02-17,Maryland,neutral,L,8,9,8,3,11,24,0.333,17,0.708,0,2,4,3,0,17,12,8,12
2024-02-24,Notre Dame,home,W,16,14,16,7,23,25,0.640,20,0.800,1,5,6,6,0,14,13,12,18
2024-03-02,Duke,away,W,15,8,15,6,21,35,0.429,26,0.743,1,1,3,1,0,21,17,16,20
2024-03-05,Stony Brook,away,L,12,13,12,7,19,27,0.444,16,0.593,0,5,10,1,0,13,14,10,14
2024-03-09,Virginia Tech,away,W,15,5,15,4,19,32,0.469,26,0.813,1,4,8,2,0,16,19,11,13
2024-03-16,North Carolina,home,W,20,5,20,12,32,38,0.526,27,0.711,1,3,5,2,0,18,11,12,18
2024-03-19,UAlbany,home,W,20,11,20,9,29,42,0.476,32,0.762,1,5,11,5,0,21,15,10,16
2024-03-23,Virginia,home,W,15,14,15,10,25,30,0.500,22,0.733,1,1,4,3,0,13,16,11,21
2024-03-27,Loyola,home,W,16,13,16,3,19,38,0.421,26,0.684,1,2,4,0,0,17,10,12,12
2024-03-30,Louisville,home,W,22,12,22,10,32,38,0.579,27,0.711,1,3,5,1,0,14,16,7,24
2024-04-02,Cornell,home,W,17,4,17,3,20,38,0.447,26,0.684,1,2,4,2,0,11,19,6,20
2024-04-06,Pittsburgh,home,W,16,7,16,7,23,34,0.471,23,0.676,1,8,14,2,1,12,14,10,19
2024-04-13,Clemson,home,W,15,6,15,6,21,38,0.395,29,0.763,1,4,12,2,0,21,14,10,17
2024-04-18,Boston College,away,L,10,11,10,4,14,26,0.385,16,0.615,0,1,2,0,0,7,15,8,14
2024-04-23,Louisville,away,W,17,8,17,6,23,37,0.459,26,0.703,1,1,4,2,0,22,13,12,18
2024-04-26,Virginia,away,W,19,4,19,4,23,33,0.576,29,0.879,1,7,10,1,0,12,11,10,22
2024-04-28,Boston College,neutral,L,8,15,8,2,10,31,0.258,18,0.581,0,1,4,0,0,8,13,4,18
2024-05-12,Stony Brook,neutral,W,15,10,15,11,26,28,0.536,23,0.821,1,4,7,1,0,19,16,6,22
2024-05-16,Yale,neutral,W,19,9,19,12,31,35,0.543,28,0.800,1,3,7,5,0,15,12,6,22
2024-05-24,Boston College,neutral,L,7,10,7,4,11,28,0.250,19,0.679,0,0,2,1,0,12,17,9,15
