date,opponent,number,player,pos,g,a,pts,sh,sog,gb,to,ct,dc,fps,fouls
2024-02-10,Northwestern,1,"Adamson, Olivia",-,6,0,6,7,7,2,3,2,1,0-0,3
2024-02-10,Northwestern,2,"Sweitzer, Delaney",GK,0,0,0,0,0,1,0,2,0,0-0,0
2024-02-10,Northwestern,4,"Benoit, Kaci",-,0,0,0,0,0,2,0,1,0,0-0,0
2024-02-10,Northwestern,5,"Muchnick, Emma",-,1,0,1,2,2,1,0,1,0,1-2,0
2024-02-10,Northwestern,6,"Rowley, Payton",-,0,1,1,2,2,0,0,0,0,0-0,0
2024-02-10,Northwestern,8,"Mashewske, Kate",-,0,0,0,0,0,0,0,0,3,0-0,2
2024-02-10,Northwestern,12,"Goodale, Katie",-,0,0,0,0,0,2,1,3,4,0-0,3
2024-02-10,Northwestern,15,"Smith, Natalie",-,3,1,4,5,4,0,1,0,2,1-3,3
2024-02-10,Northwestern,16,"Vandiver, Coco",-,0,0,0,0,0,0,0,0,0,0-0,3
2024-02-10,Northwestern,17,"Olsen, McKenzie",-,0,0,0,0,0,1,1,0,0,0-0,0
2024-02-10,Northwestern,19,"Britton, Gracie",-,0,0,0,0,0,0,0,0,0,0-0,0
2024-02-10,Northwestern,20,"Rich, Mackenzie",-,0,0,0,1,0,0,0,0,0,0-0,0
2024-02-10,Northwestern,24,"Tyrrell, Emma",-,1,0,1,3,2,1,3,1,0,0-1,2
2024-02-10,Northwestern,30,"Clark, Superia",-,0,0,0,0,0,0,0,0,0,0-0,0
2024-02-10,Northwestern,31,"Simkins, Hallie",-,0,0,0,0,0,1,1,0,0,0-0,4
2024-02-10,Northwestern,33,"Caramelli, Joely",-,0,0,0,0,0,0,1,0,0,0-0,0
2024-02-10,Northwestern,35,"Sweitzer, Savannah",-,0,2,2,1,0,0,2,0,0,0-0,1
2024-02-10,Northwestern,44,"Ward, Emma",-,2,3,5,4,3,1,1,1,0,0-1,0
2024-02-10,Northwestern,45,"Chevarie, Bianca",-,0,0,0,0,0,0,0,1,0,0-0,0
2024-02-10,Northwestern,49,"Baxter, Maddy",-,2,0,2,3,2,0,0,0,3,0-0,2
2024-02-14,ARMY,0,"Guyette, Daniella",-,0,0,0,0,0,0,0,0,0,0-0,0
2024-02-14,ARMY,1,"Adamson, Olivia",A,1,4,5,2,2,0,2,0,0,0-0,0
2024-02-14,ARMY,2,"Sweitzer, Delaney",GK,0,0,0,0,0,1,0,1,0,0-0,0
2024-02-14,ARMY,3,"Banks, Ryann",-,0,1,1,0,0,0,0,0,0,0-0,0
2024-02-14,ARMY,4,"Benoit, Kaci",D,0,0,0,0,0,0,1,0,0,0-0,0
2024-02-14,ARMY,5,"Muchnick, Emma",-,0,2,2,1,0,0,2,0,1,0-0,2
2024-02-14,ARMY,6,"Rowley, Payton",-,4,0,4,6,5,2,1,0,0,0-1,0
2024-02-14,ARMY,7,"Horvit, Ana",-,0,0,0,0,0,0,0,0,0,0-0,0
2024-02-14,ARMY,8,"Mashewske, Kate",M,0,0,0,0,0,0,3,0,9,0-0,2
2024-02-14,ARMY,9,"Basciano, Julia",-,0,0,0,0,0,0,0,0,0,0-0,0
2024-02-14,ARMY,10,"Wooters, Faith",-,0,0,0,0,0,0,0,0,0,0-0,0
2024-02-14,ARMY,12,"Goodale, Katie",D,0,0,0,0,0,3,0,1,1,0-0,5
2024-02-14,ARMY,15,"Smith, Natalie",M,4,2,6,8,5,2,1,0,3,1-1,1
2024-02-14,ARMY,16,"Vandiver, Coco",D,0,0,0,0,0,0,1,1,0,0-0,0
2024-02-14,ARMY,17,"Olsen, McKenzie",-,0,0,0,0,0,0,0,0,0,0-0,2
2024-02-14,ARMY,18,"Desimone, Carlie",-,0,0,0,0,0,0,0,0,0,0-0,0
2024-02-14,ARMY,19,"Britton, Gracie",-,0,0,0,0,0,0,0,0,0,0-0,0
2024-02-14,ARMY,20,"Rich, Mackenzie",-,0,0,0,0,0,1,0,1,0,0-0,1
2024-02-14,ARMY,24,"Tyrrell, Emma",A,1,1,2,3,2,1,1,0,0,0-0,0
2024-02-14,ARMY,25,"Blesi, Ella",-,0,0,0,0,0,0,0,0,1,0-0,1
2024-02-14,ARMY,27,"Lahah, Izzy",-,0,0,0,0,0,0,0,0,0,0-0,0
2024-02-14,ARMY,28,"Rode, Meghan",-,2,0,2,3,2,0,0,0,0,0-0,0
2024-02-14,ARMY,30,"Clark, Superia",-,0,0,0,0,0,0,0,0,0,0-0,1
2024-02-14,ARMY,31,"Simkins, Hallie",D,0,0,0,0,0,1,1,0,0,0-0,3
2024-02-14,ARMY,33,"Caramelli, Joely",-,0,0,0,0,0,0,0,0,1,0-0,0
2024-02-14,ARMY,34,"Bethea-Jones, Chloe",-,0,0,0,0,0,0,0,0,0,0-0,0
2024-02-14,ARMY,35,"Sweitzer, Savannah",-,1,1,2,1,1,0,0,0,0,0-0,0
2024-02-14,ARMY,36,"Johnston, Evan",-,0,0,0,0,0,0,0,0,0,0-0,0
2024-02-14,ARMY,44,"Ward, Emma",A,3,2,5,5,4,0,1,0,0,0-0,0
2024-02-14,ARMY,45,"Chevarie, Bianca",D,0,0,0,0,0,1,0,3,0,0-0,3
2024-02-14,ARMY,49,"Baxter, Maddy",M,2,0,2,2,2,0,1,1,0,0-0,1
2024-02-14,ARMY,77,"Call, Lauren",-,0,0,0,0,0,0,0,0,0,0-0,1
2024-02-17,Maryland,1,"Adamson, Olivia",A,2,1,3,3,2,1,2,0,0,0-1,0
2024-02-17,Maryland,2,"Sweitzer, Delaney",GK,0,0,0,0,0,5,0,1,0,0-0,0
2024-02-17,Maryland,4,"Benoit, Kaci",D,0,0,0,0,0,0,0,0,2,0-0,1
2024-02-17,Maryland,5,"Muchnick, Emma",-,0,0,0,1,1,0,0,0,1,0-0,1
2024-02-17,Maryland,6,"Rowley, Payton",-,1,0,1,2,1,0,1,0,0,0-0,0
2024-02-17,Maryland,8,"Mashewske, Kate",M,0,0,0,0,0,0,0,0,1,0-0,0
